,Country,Date,Confirmed,Active,Deaths,Recovered
397,Cambodia,2/4/20,1,1,0,0
398,Cambodia,2/5/20,1,1,0,0
399,Cambodia,2/6/20,1,1,0,0
400,Cambodia,2/7/20,1,1,0,0
401,Cambodia,2/8/20,1,1,0,0
402,Cambodia,2/9/20,1,1,0,0
403,Cambodia,3/1/20,1,0,0,1
404,Cambodia,3/10/20,2,1,0,1
405,Cambodia,3/11/20,3,2,0,1
406,Cambodia,3/12/20,3,2,0,1
407,Cambodia,3/13/20,5,4,0,1
408,Cambodia,3/14/20,7,6,0,1
409,Cambodia,3/15/20,7,6,0,1
410,Cambodia,3/16/20,7,6,0,1
411,Cambodia,3/17/20,33,32,0,1
412,Cambodia,3/18/20,35,34,0,1
413,Cambodia,3/19/20,37,36,0,1
414,Cambodia,3/2/20,1,0,0,1
415,Cambodia,3/3/20,1,0,0,1
416,Cambodia,3/4/20,1,0,0,1
417,Cambodia,3/5/20,1,0,0,1
418,Cambodia,3/6/20,1,0,0,1
419,Cambodia,3/7/20,1,0,0,1
420,Cambodia,3/8/20,2,1,0,1
421,Cambodia,3/9/20,2,1,0,1
422,Cameroon,3/10/20,2,2,0,0
423,Cameroon,3/11/20,2,2,0,0
424,Cameroon,3/12/20,2,2,0,0
425,Cameroon,3/13/20,2,2,0,0
426,Cameroon,3/14/20,2,2,0,0
427,Cameroon,3/15/20,2,2,0,0
428,Cameroon,3/16/20,4,4,0,0
429,Cameroon,3/17/20,10,10,0,0
430,Cameroon,3/18/20,10,10,0,0
431,Cameroon,3/19/20,13,13,0,0
432,Cameroon,3/6/20,1,1,0,0
433,Cameroon,3/7/20,1,1,0,0
434,Cameroon,3/8/20,2,2,0,0
435,Cameroon,3/9/20,2,2,0,0
436,Canada,1/26/20,1,1,0,0
437,Canada,1/27/20,1,1,0,0
438,Canada,1/28/20,2,2,0,0
439,Canada,1/29/20,2,2,0,0
440,Canada,1/30/20,2,2,0,0
441,Canada,1/31/20,4,4,0,0
442,Canada,2/1/20,4,4,0,0
443,Canada,2/10/20,7,7,0,0
444,Canada,2/11/20,7,7,0,0
445,Canada,2/12/20,7,6,0,1
446,Canada,2/13/20,7,6,0,1
447,Canada,2/14/20,7,6,0,1
448,Canada,2/15/20,7,6,0,1
449,Canada,2/16/20,7,6,0,1
450,Canada,2/17/20,8,7,0,1
451,Canada,2/18/20,8,7,0,1
452,Canada,2/19/20,8,7,0,1
453,Canada,2/2/20,4,4,0,0
454,Canada,2/20/20,8,7,0,1
455,Canada,2/21/20,9,6,0,3
456,Canada,2/22/20,9,6,0,3
457,Canada,2/23/20,9,6,0,3
458,Canada,2/24/20,10,7,0,3
459,Canada,2/25/20,11,8,0,3
460,Canada,2/26/20,11,8,0,3
461,Canada,2/27/20,13,7,0,6
462,Canada,2/28/20,14,8,0,6
463,Canada,2/29/20,20,14,0,6
464,Canada,2/3/20,4,4,0,0
465,Canada,2/4/20,4,4,0,0
466,Canada,2/5/20,5,5,0,0
467,Canada,2/6/20,5,5,0,0
468,Canada,2/7/20,7,7,0,0
469,Canada,2/8/20,7,7,0,0
470,Canada,2/9/20,7,7,0,0
471,Canada,3/1/20,24,18,0,6
472,Canada,3/10/20,79,70,1,8
473,Canada,3/11/20,108,99,1,8
474,Canada,3/12/20,117,108,1,8
475,Canada,3/13/20,191,182,1,8
476,Canada,3/14/20,196,187,1,8
477,Canada,3/15/20,249,240,1,8
478,Canada,3/16/20,412,399,4,9
479,Canada,3/17/20,469,455,5,9
480,Canada,3/18/20,647,630,8,9
481,Canada,3/19/20,789,771,9,9
482,Canada,3/2/20,27,21,0,6
483,Canada,3/3/20,30,24,0,6
484,Canada,3/4/20,33,27,0,6
485,Canada,3/5/20,37,31,0,6
486,Canada,3/6/20,49,43,0,6
487,Canada,3/7/20,54,46,0,8
488,Canada,3/8/20,64,56,0,8
489,Canada,3/9/20,77,68,1,8
490,Central African Republic,3/15/20,1,1,0,0
491,Central African Republic,3/16/20,1,1,0,0
492,Central African Republic,3/17/20,1,1,0,0
493,Central African Republic,3/18/20,1,1,0,0
494,Central African Republic,3/19/20,1,1,0,0
495,Chad,3/19/20,1,1,0,0
496,Chile,3/10/20,13,13,0,0
497,Chile,3/11/20,23,23,0,0
498,Chile,3/12/20,23,23,0,0
499,Chile,3/13/20,43,43,0,0
500,Chile,3/14/20,61,61,0,0
501,Chile,3/15/20,74,74,0,0
502,Chile,3/16/20,155,155,0,0
503,Chile,3/17/20,201,201,0,0
504,Chile,3/18/20,238,238,0,0
505,Chile,3/19/20,238,238,0,0
506,Chile,3/3/20,1,1,0,0
507,Chile,3/4/20,1,1,0,0
508,Chile,3/5/20,4,4,0,0
509,Chile,3/6/20,4,4,0,0
510,Chile,3/7/20,4,4,0,0
511,Chile,3/8/20,8,8,0,0
512,Chile,3/9/20,8,8,0,0
513,China,1/22/20,547,502,17,28
514,China,1/23/20,641,593,18,30
515,China,1/24/20,918,856,26,36
516,China,1/25/20,1404,1323,42,39
517,China,1/26/20,2070,1965,56,49
518,China,1/27/20,2871,2731,82,58
519,China,1/28/20,5502,5270,131,101
520,China,1/29/20,6080,5827,133,120
521,China,1/30/20,8134,7828,171,135
522,China,1/31/20,9795,9368,213,214
523,China,2/1/20,11884,11350,259,275
524,China,2/10/20,42344,37415,1012,3917
525,China,2/11/20,44376,38629,1112,4635
526,China,2/12/20,44749,38552,1117,5080
527,China,2/13/20,59885,52302,1369,6214
528,China,2/14/20,66348,56853,1521,7974
529,China,2/15/20,68403,57445,1663,9295
530,China,2/16/20,70503,57987,1766,10750
531,China,2/17/20,72424,58103,1864,12457
532,China,2/18/20,74201,57997,2003,14201
533,China,2/19/20,74609,56536,2116,15957
534,China,2/2/20,16622,15798,361,463
535,China,2/20/20,75067,54821,2238,18008
536,China,2/21/20,75540,54604,2238,18698
537,China,2/22/20,76991,51855,2443,22693
538,China,2/23/20,77012,51386,2445,23181
539,China,2/24/20,77231,49627,2595,25009
540,China,2/25/20,77744,47410,2665,27669
541,China,2/26/20,78156,45362,2717,30077
542,China,2/27/20,78590,42922,2746,32922
543,China,2/28/20,78918,39807,2790,36321
544,China,2/29/20,79346,37197,2837,39312
545,China,2/3/20,19708,18669,425,614
546,China,2/4/20,23697,22363,491,843
547,China,2/5/20,27430,25752,563,1115
548,China,2/6/20,30577,28468,633,1476
549,China,2/7/20,34100,31384,718,1998
550,China,2/8/20,36804,33404,805,2595
551,China,2/9/20,39819,35696,905,3218
552,China,3/1/20,79922,34896,2872,42154
553,China,3/10/20,80877,17567,3139,60171
554,China,3/11/20,80911,16116,3161,61634
555,China,3/12/20,80922,14859,3172,62891
556,China,3/13/20,80935,13569,3180,64186
557,China,3/14/20,80967,12124,3193,65650
558,China,3/15/20,80993,10783,3203,67007
559,China,3/16/20,81022,9905,3217,67900
560,China,3/17/20,81046,9028,3230,68788
561,China,3/18/20,81087,8101,3241,69745
562,China,3/19/20,81139,7365,3249,70525
563,China,3/2/20,80126,32366,2914,44846
564,China,3/3/20,80251,29863,2947,47441
565,China,3/4/20,80376,27401,2983,49992
566,China,3/5/20,80527,25229,3015,52283
567,China,3/6/20,80680,23702,3044,53934
568,China,3/7/20,80760,22159,3072,55529
569,China,3/8/20,80813,20335,3100,57378
570,China,3/9/20,80850,18933,3123,58794
571,Colombia,3/10/20,3,3,0,0
572,Colombia,3/11/20,9,9,0,0
573,Colombia,3/12/20,9,9,0,0
574,Colombia,3/13/20,13,13,0,0
575,Colombia,3/14/20,22,22,0,0
576,Colombia,3/15/20,34,34,0,0
577,Colombia,3/16/20,54,54,0,0
578,Colombia,3/17/20,65,64,0,1
579,Colombia,3/18/20,93,92,0,1
580,Colombia,3/19/20,102,101,0,1
581,Colombia,3/6/20,1,1,0,0
582,Colombia,3/7/20,1,1,0,0
583,Colombia,3/8/20,1,1,0,0
584,Colombia,3/9/20,1,1,0,0
585,Costa Rica,3/10/20,9,9,0,0
586,Costa Rica,3/11/20,13,13,0,0
